AssetID	AssetType	Type	Id	Depth	Name	DependencyType
6459	LP_REG_JP-FY22-GSB16842-3_T1___Consideration_Article_JP-JA-Webinar-1Dec	NA	NA	NA	NA	NA
6460	LP_REG_JP-FY22-GSB16842-3_T1___Consideration_Article_JP-JA-Webinar-1Dec-Afternoon	NA	NA	NA	NA	NA
6462	LP_REG_WWHQ-FY22-3DP16806-70_T1___Awareness_Article_us-en-3dprint-campetella-TY	Form	43508	minimal	FM_VF_WWHQ-FY22-3DP16806-70_us-en-3dprint-campetella::Redirect to Webpage	NA
6464	LP_REG_HK-FY22-PRINT16746-2_T1_Awareness_Product-2167-GCN-Print-HK-ZH	Email	8355	minimal	EM_IN_HK-FY22-PRINT16746-2_T1___Consideration_2232-GCNPrint-HKOPSPromotionSMB-Invite	NA
6464	LP_REG_HK-FY22-PRINT16746-2_T1_Awareness_Product-2167-GCN-Print-HK-ZH	Email	8356	minimal	EM_IN_HK-FY22-PRINT16746-2_T2___Consideration_2232-GCNPrint-HKOPSPromotionSMB-Resend	NA
6464	LP_REG_HK-FY22-PRINT16746-2_T1_Awareness_Product-2167-GCN-Print-HK-ZH	Email	8357	minimal	EM_IN_HK-FY22-PRINT16746-2_T3___Consideration_2232-GCNPrint-HKOPSPromotionSMB-Resend2	NA
6464	LP_REG_HK-FY22-PRINT16746-2_T1_Awareness_Product-2167-GCN-Print-HK-ZH	Campaign	400492	minimal	MC_HK-FY22-PRINT16746-2_Webinar_2232-GCNPrint-HKOPSPromotionSMB	NA
6465	Z by HP - Contact Me Request V1	NA	NA	NA	NA	NA
6466	Z by HP - Contact Me Request V2	NA	NA	NA	NA	NA
6468	LP_REG_JP-FY22-GSB16842-3_T1___Consideration_Article_JP-JA-Webinar-1Dec-TY	Form	43472	minimal	FM_VF_JP-FY22-GSB16842-3_JP-Webinar-Dec1::Redirect to Webpage	NA
6470	LP_MKT_AU-FY22-PS16765-3_T1-A_Awareness_ProductVideo_windows-11-announce-event	NA	NA	NA	NA	NA
6471	LP_MKT_AU-FY22-PS16765-3_T1-A_Awareness_ProductVideo_windows-11-announce-event-60-sec-recap	NA	NA	NA	NA	NA
6472	LP_MKT_AU-FY22-PS16765-3_T1-A_Awareness_Article_windows-11-2021-work-trend-report-event-	NA	NA	NA	NA	NA
6474	LP_REG_US-FY22-PRINT16745-12_T1___Awareness_Product_survey-2179	NA	NA	NA	NA	NA
